SWV ITM Data Console - ITM Port: 0
X: 48.545452, Y: -61.728153, Z: 940.040771
X: 46.484844, Y: -59.747570, Z: 939.061157
X: 44.909088, Y: -58.932037, Z: 941.632629
X: 47.696968, Y: -61.145630, Z: 937.836731
X: 47.090904, Y: -62.543686, Z: 941.999939
X: 51.454544, Y: -62.310677, Z: 937.591797
X: 46.727272, Y: -60.563103, Z: 936.489807
X: 48.666664, Y: -60.563103, Z: 939.551025
X: 47.575756, Y: -62.543686, Z: 937.469360
X: 47.939388, Y: -61.611649, Z: 937.714233
X: 48.181816, Y: -61.611649, Z: 938.693848
X: 49.151512, Y: -60.097084, Z: 939.795898
