SWV ITM Data Console - ITM Port: 0
X: 1534.121094, Y: -808.990234, Z: 313.469391
X: 1455.818115, Y: -928.640747, Z: -8.448978
X: 1322.000000, Y: -1008.096985, Z: -81.306122
X: 1303.939331, Y: -1052.019409, Z: 110.816315
X: 1223.575684, Y: -995.747559, Z: 246.857147
X: 1060.302856, Y: -807.009705, Z: 257.632660
X: 845.030273, Y: -882.737854, Z: 43.714287
X: 737.030273, Y: -657.533936, Z: 12.122452
X: 713.636292, Y: -709.145630, Z: 60.122444
X: 569.393921, Y: -714.854370, Z: -101.387756
X: 552.909058, Y: -739.902893, Z: -118.285713
X: 713.878723, Y: -734.776672, Z: -120.244896
X: 852.181763, Y: -849.300964, Z: -117.061218
X: 843.212097, Y: -928.640747, Z: 13.714279
X: 864.909058, Y: -1052.019409, Z: 12.734695
X: 985.151428, Y: -1109.922241, Z: 32.448975
X: 1115.818115, Y: -1165.844604, Z: 12.367348
X: 1216.181763, Y: -1114.349487, Z: 5.755096
X: 1181.151367, Y: -963.825256, Z: 109.469391
X: 1108.908936, Y: -839.048523, Z: 117.183670
X: 1143.939331, Y: -669.417480, Z: 143.142853
X: 1025.393799, Y: -353.339783, Z: 244.285706
X: 1019.333252, Y: -323.514557, Z: 77.387756
X: 755.818115, Y: -104.718445, Z: 54.367340
X: 704.787781, Y: -92.485435, Z: 140.081635
X: 199.212097, Y: 13.766989, Z: 116.693878
X: -11.939392, Y: -12.912621, Z: 16.408157
X: -90.121201, Y: 19.009708, Z: 51.551018
X: 8.666667, Y: -83.281548, Z: 104.204071
X: 88.666656, Y: -330.504852, Z: 50.816322
X: 285.151489, Y: -448.058228, Z: 177.918350
X: 740.787842, Y: -695.864075, Z: 178.285706
X: 778.727234, Y: -953.805786, Z: 55.714279
X: 1243.333252, Y: -750.737793, Z: 116.571426
X: 1330.848389, Y: -1192.524292, Z: -190.285721
X: 1151.818115, Y: -1202.310669, Z: -66.367348
X: 1167.090820, Y: -1057.378540, Z: -101.265305
X: 1225.393921, Y: -1101.300903, Z: 92.204086
X: 1130.848389, Y: -974.660156, Z: 108.489792
X: 990.848389, Y: -931.902893, Z: -78.857140
X: 787.696899, Y: -913.145630, Z: -49.469387
X: 569.757507, Y: -829.961182, Z: -75.673470
X: 567.333313, Y: -704.252380, Z: -89.632652
X: 619.090881, Y: -722.893188, Z: -171.551025
X: 610.606018, Y: -778.699036, Z: -192.734695
X: 613.515076, Y: -814.815491, Z: -143.265305
X: 673.272705, Y: -936.446594, Z: -162.000000
X: 649.030273, Y: -1045.378540, Z: -147.306122
X: 662.121155, Y: -1017.067993, Z: -30.244898
X: 867.212036, Y: -1158.854248, Z: -109.836731
X: 883.333252, Y: -1113.883423, Z: -197.387756
X: 849.393921, Y: -1152.446533, Z: -109.591835
X: 934.606018, Y: -1059.359131, Z: -98.448975
X: 943.575684, Y: -851.281494, Z: -0.612247
X: 997.878723, Y: -714.388306, Z: 58.530609
X: 1058.969604, Y: -642.504822, Z: 53.510201
X: 986.363586, Y: -467.048523, Z: 4.040817
X: 878.848389, Y: -336.097076, Z: 18.612244
X: 623.818115, Y: -152.485428, Z: 144.000000
X: 428.909058, Y: -56.601940, Z: 151.469376
X: 238.121201, Y: 12.834949, Z: 115.591843
X: 76.787872, Y: 46.155338, Z: 112.653061
X: 121.757568, Y: 52.912617, Z: 93.673462
X: 302.242432, Y: 13.883495, Z: 115.959183
X: 587.454529, Y: -117.417473, Z: 114.857147
X: 676.787842, Y: -251.398056, Z: 195.183670
X: 609.757568, Y: -455.514557, Z: 71.877533
X: 1020.909058, Y: -463.669891, Z: -21.551022
X: 998.363586, Y: -882.388306, Z: 124.530609
X: 760.666626, Y: -935.514526, Z: 242.204071
X: 981.030273, Y: -978.621338, Z: -151.714279
X: 1156.545410, Y: -1111.786377, Z: -281.877563
X: 1018.363525, Y: -1182.854248, Z: -93.428574
X: 811.090820, Y: -1126.815430, Z: -14.448982
X: 744.060547, Y: -1023.009705, Z: 35.020401
X: 648.424194, Y: -1186.233032, Z: -86.448982
X: 544.909058, Y: -972.097046, Z: -32.204082
X: 649.030273, Y: -778.116455, Z: 9.918365
X: 654.606018, Y: -858.504822, Z: -124.040817
X: 543.090881, Y: -831.592224, Z: -130.285706
X: 722.969604, Y: -901.961121, Z: -11.877552
X: 718.605957, Y: -1090.698975, Z: -148.285706
X: 471.939362, Y: -1057.844727, Z: -259.959167
X: 651.333313, Y: -1059.126221, Z: 1.469383
X: 981.636292, Y: -1212.446655, Z: 174.612244
X: 884.908997, Y: -1258.116455, Z: -103.469391
X: 921.151428, Y: -1279.902954, Z: -280.040833
X: 924.302979, Y: -1055.281494, Z: -149.877548
X: 940.424194, Y: -792.330078, Z: 0.244896
X: 1120.787720, Y: -675.359192, Z: 35.877548
X: 1088.424194, Y: -499.203857, Z: -37.959183
X: 1133.636353, Y: -398.893188, Z: -53.510204
X: 1032.181641, Y: -243.009705, Z: 60.122444
X: 763.575684, Y: -146.543686, Z: 64.163261
X: 380.181793, Y: 30.776699, Z: 169.959183
X: 85.757568, Y: 73.184464, Z: 135.673462
X: -141.515137, Y: 35.902912, Z: 3.428570
X: -205.757553, Y: 3.864078, Z: 82.775513
X: 41.393936, Y: -60.446602, Z: 239.387756
X: 395.696960, Y: -277.728119, Z: 297.673462
X: 483.212067, Y: -606.038818, Z: 194.693863
X: 470.606049, Y: -870.854370, Z: 210.489777
X: 1163.454468, Y: -748.524231, Z: -0.857143
X: 1506.848389, Y: -1090.466064, Z: -381.551025
X: 1248.545288, Y: -1200.097046, Z: 11.877548
X: 1092.424194, Y: -1044.330078, Z: 97.346939
X: 1178.484741, Y: -1060.407715, Z: 39.306122
X: 1026.848389, Y: -977.805786, Z: 112.775497
X: 831.818115, Y: -1006.815491, Z: -18.367348
X: 653.151428, Y: -1081.145630, Z: -73.714287
X: 531.454529, Y: -930.854309, Z: 82.897949
X: 592.666626, Y: -867.475647, Z: -60.857143
X: 620.909058, Y: -790.699036, Z: -71.265305
X: 586.484802, Y: -796.058167, Z: -113.877548
X: 599.090881, Y: -861.300903, Z: -95.020409
X: 583.575684, Y: -921.650452, Z: -96.489792
X: 528.424194, Y: -983.398010, Z: -81.428574
X: 531.696899, Y: -997.844604, Z: -35.877552
X: 760.424194, Y: -1045.844604, Z: 50.081627
X: 955.818115, Y: -1236.796021, Z: 18.979591
X: 975.454468, Y: -1261.262085, Z: -50.204082
X: 1037.636353, Y: -1251.126221, Z: -31.224491
X: 1065.272705, Y: -1139.164917, Z: 15.306114
X: 1003.333252, Y: -837.883484, Z: 84.857132
X: 955.454529, Y: -658.466003, Z: -3.918369
X: 1024.181763, Y: -450.854340, Z: 107.632645
X: 1011.818115, Y: -290.194183, Z: 6.489792
X: 1005.272705, Y: -204.097076, Z: -175.591827
X: 867.575745, Y: -16.291262, Z: -13.714287
X: 673.878723, Y: 78.660194, Z: 120.979584
X: 317.757568, Y: 146.932037, Z: 166.530609
X: 88.424240, Y: 182.233002, Z: 213.061218
X: -73.393936, Y: 89.262131, Z: 102.367340
X: -184.666656, Y: -18.271843, Z: -55.836735
X: -86.242416, Y: -222.388336, Z: 58.040817
