SWV ITM Data Console - ITM Port: 0
X: 346.848450, Y: 95.553398, Z: -14.326534
X: -221.393936, Y: 250.038818, Z: 192.489777
X: -694.484802, Y: 364.330078, Z: 36.857140
X: -591.939331, Y: 406.388336, Z: -77.265305
X: -431.575745, Y: 434.699005, Z: 233.020416
X: -44.909088, Y: 311.436890, Z: 131.020401
X: 298.363617, Y: 174.543686, Z: -99.551018
X: 640.909058, Y: -190.349503, Z: 459.918335
X: 845.878723, Y: -342.970856, Z: -392.204071
X: 1540.908936, Y: -379.902893, Z: -310.530579
X: 1284.787720, Y: -439.436859, Z: 158.816330
X: 714.242432, Y: -774.737854, Z: 201.673462
X: 856.181763, Y: -909.417419, Z: 64.040810
X: 923.212036, Y: -985.029053, Z: 252.122437
X: 1215.090820, Y: -1012.640747, Z: -115.714279
X: 1178.121094, Y: -982.815491, Z: -176.571426
X: 1028.181763, Y: -935.165039, Z: -96.489792
X: 909.757568, Y: -818.776672, Z: -47.877552
X: 1075.939331, Y: -622.815552, Z: 184.285706
X: 1257.393799, Y: -636.912598, Z: 230.081635
X: 1396.545288, Y: -799.436890, Z: 56.081627
X: 1265.393799, Y: -926.660156, Z: 85.959183
X: 1163.454468, Y: -1005.650513, Z: -11.142860
X: 1195.818115, Y: -966.970825, Z: -18.000000
X: 1274.484741, Y: -1029.650391, Z: -32.938778
X: 1383.212036, Y: -1066.932007, Z: 173.020401
